service_id;monday;tuesday;wednesday;thursday;friday;saturday;sunday;start_date;end_date;Jours validité;commentaires;;;;;;;;;;;;;;;;;;
TF2_BL-2-31;1;1;1;1;1;0;0;20231030;20240705;1111100;;;;;;;;;;;;;;;;;;;
TF2_RO-2-31;1;1;1;1;1;0;0;20230904;20240621;1111100;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nombre de service_id;Étiquettes de colonnes;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Étiquettes de lignes;300;301;302;303;305;310;311;313;314;315;322;330;331;332;333;334;335;336;340;341;342;343;350;351;360;361;363;364;Total général
EL_PS-2-27;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;1
EL_PS-2-31;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;1
EL_PS-2-4;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;1
INT_RO-2-27;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;2
INT_RO-2-31;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;2
INT_RO-2-4;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;2
IST_M1-2-32;2;2;;;14;2;2;;2;2;;3;3;2;2;2;2;;7;;;;;;;;;2;49
IST_M2-2-32;;;;;;;;;;;;;;;;;;;7;;;;;;;;;;7
IST_R1-2-11;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;2
IST_R1-2-27;4;4;2;6;24;9;6;7;4;5;;4;3;14;17;11;10;6;31;5;4;4;2;4;5;8;4;5;208
IST_R1-2-8;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;1
IST_R2-2-4;2;4;2;3;19;6;4;4;4;4;;3;3;11;13;8;7;4;31;6;3;3;3;3;4;6;5;4;169
Total général;8;10;6;9;57;17;15;11;10;11;6;10;9;27;33;21;19;10;76;11;7;7;5;7;9;14;9;11;445
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;T1_R2-2-31,1,1,1,1,1,0,0,20230918,20240322;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;T23_BL-2-31,1,1,1,1,1,0,0,20231023,20240705;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;T23_MV-2-32,0,0,0,0,0,1,0,20230909,20240622;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;T23_RO-2-31,1,1,1,1,1,0,0,20230904,20240621;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;T23_VE-2-127,1,1,1,1,1,1,1,20230910,20240623;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;TF2_BL-2-31,1,1,1,1,1,0,0,20231030,20240705;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;TF2_RO-2-31,1,1,1,1,1,0,0,20230904,20240621;;;;;;;;;;;;;;;;;;;;;;;;;;;;
