route_id;service_id;trip_id;trip_headsign;direction_id;block_id;wheelchair_accessible;bikes_allowed;route_short_names;Jours validité
7;TF2_RO-2-31;28419;Hôtel de Ville SOTTEVILLE-LÈS-ROUEN;0;;;;F7;1111100
90;T23_MV-2-32;2842;Boulingrin ROUEN;1;;;;Métro;0000010
7;TF2_RO-2-31;28420;Hôtel de Ville SOTTEVILLE-LÈS-ROUEN;0;;;;F7;1111100
7;TF2_RO-2-31;28421;Hôtel de Ville SOTTEVILLE-LÈS-ROUEN;0;;;;F7;1111100
7;TF2_RO-2-31;28422;Hôtel de Ville SOTTEVILLE-LÈS-ROUEN;0;;;;F7;1111100
7;TF2_RO-2-31;28423;Hôtel de Ville SOTTEVILLE-LÈS-ROUEN;0;;;;F7;1111100
7;TF2_RO-2-31;28424;Hôtel de Ville SOTTEVILLE-LÈS-ROUEN;0;;;;F7;1111100
7;TF2_RO-2-31;28425;Hôtel de Ville SOTTEVILLE-LÈS-ROUEN;0;;;;F7;1111100
7;TF2_RO-2-31;28426;Hôtel de Ville SOTTEVILLE-LÈS-ROUEN;0;;;;F7;1111100
7;TF2_RO-2-31;28427;Hôtel de Ville SOTTEVILLE-LÈS-ROUEN;0;;;;F7;1111100
7;TF2_RO-2-31;28428;Hôtel de Ville SOTTEVILLE-LÈS-ROUEN;0;;;;F7;1111100
7;TF2_RO-2-31;28429;Hôtel de Ville SOTTEVILLE-LÈS-ROUEN;0;;;;F7;1111100
90;T23_MV-2-32;2843;Boulingrin ROUEN;1;;;;Métro;0000010
7;TF2_RO-2-31;28430;Hôtel de Ville SOTTEVILLE-LÈS-ROUEN;0;;;;F7;1111100
7;TF2_RO-2-31;28431;Hôtel de Ville SOTTEVILLE-LÈS-ROUEN;0;;;;F7;1111100
7;TF2_RO-2-31;28432;Hôtel de Ville SOTTEVILLE-LÈS-ROUEN;0;;;;F7;1111100
7;TF2_RO-2-31;28433;Hôtel de Ville SOTTEVILLE-LÈS-ROUEN;0;;;;F7;1111100
7;TF2_RO-2-31;28434;Hôtel de Ville SOTTEVILLE-LÈS-ROUEN;0;;;;F7;1111100
7;TF2_RO-2-31;28435;Hôtel de Ville SOTTEVILLE-LÈS-ROUEN;0;;;;F7;1111100
7;TF2_RO-2-31;28436;Hôtel de Ville SOTTEVILLE-LÈS-ROUEN;0;;;;F7;1111100
7;TF2_RO-2-31;28437;Hôtel de Ville SOTTEVILLE-LÈS-ROUEN;0;;;;F7;1111100
7;TF2_RO-2-31;28438;Hôtel de Ville SOTTEVILLE-LÈS-ROUEN;0;;;;F7;1111100
7;TF2_RO-2-31;28439;Hôtel de Ville SOTTEVILLE-LÈS-ROUEN;0;;;;F7;1111100
90;T23_MV-2-32;2844;Boulingrin ROUEN;1;;;;Métro;0000010
7;TF2_RO-2-31;28440;Hôtel de Ville SOTTEVILLE-LÈS-ROUEN;0;;;;F7;1111100
7;TF2_RO-2-31;28441;Hôtel de Ville SOTTEVILLE-LÈS-ROUEN;0;;;;F7;1111100
7;TF2_RO-2-31;28442;Hôtel de Ville SOTTEVILLE-LÈS-ROUEN;0;;;;F7;1111100
7;TF2_RO-2-31;28443;Hôtel de Ville SOTTEVILLE-LÈS-ROUEN;0;;;;F7;1111100
7;TF2_RO-2-31;28444;Hôtel de Ville SOTTEVILLE-LÈS-ROUEN;0;;;;F7;1111100
7;TF2_RO-2-31;28445;Hôtel de Ville SOTTEVILLE-LÈS-ROUEN;0;;;;F7;1111100
7;TF2_RO-2-31;28446;Hôtel de Ville SOTTEVILLE-LÈS-ROUEN;0;;;;F7;1111100
7;TF2_RO-2-31;28447;Hôtel de Ville SOTTEVILLE-LÈS-ROUEN;0;;;;F7;1111100
7;TF2_RO-2-31;28448;Hôtel de Ville SOTTEVILLE-LÈS-ROUEN;0;;;;F7;1111100
7;TF2_RO-2-31;28449;Hôtel de Ville SOTTEVILLE-LÈS-ROUEN;0;;;;F7;1111100
90;T23_MV-2-32;2845;Boulingrin ROUEN;1;;;;Métro;0000010
7;TF2_RO-2-31;28450;Hôtel de Ville SOTTEVILLE-LÈS-ROUEN;0;;;;F7;1111100
7;TF2_RO-2-31;28451;Hôtel de Ville SOTTEVILLE-LÈS-ROUEN;0;;;;F7;1111100
7;TF2_RO-2-31;28452;Hôtel de Ville SOTTEVILLE-LÈS-ROUEN;0;;;;F7;1111100
7;TF2_RO-2-31;28453;Hôtel de Ville SOTTEVILLE-LÈS-ROUEN;0;;;;F7;1111100
7;TF2_RO-2-31;28454;Hôtel de Ville SOTTEVILLE-LÈS-ROUEN;0;;;;F7;1111100
7;TF2_RO-2-31;28455;Hôtel de Ville SOTTEVILLE-LÈS-ROUEN;0;;;;F7;1111100
7;TF2_RO-2-31;28456;Hôtel de Ville SOTTEVILLE-LÈS-ROUEN;0;;;;F7;1111100
7;TF2_RO-2-31;28457;Hôtel de Ville SOTTEVILLE-LÈS-ROUEN;0;;;;F7;1111100
7;TF2_RO-2-31;28458;Hôtel de Ville SOTTEVILLE-LÈS-ROUEN;0;;;;F7;1111100
7;TF2_RO-2-31;28459;Hôtel de Ville SOTTEVILLE-LÈS-ROUEN;0;;;;F7;1111100
90;T23_MV-2-32;2846;Boulingrin ROUEN;1;;;;Métro;0000010
7;TF2_RO-2-31;28460;Hôtel de Ville SOTTEVILLE-LÈS-ROUEN;0;;;;F7;1111100
7;TF2_RO-2-31;28461;Hôtel de Ville SOTTEVILLE-LÈS-ROUEN;0;;;;F7;1111100
7;TF2_RO-2-31;28462;Hôtel de Ville SOTTEVILLE-LÈS-ROUEN;0;;;;F7;1111100
7;TF2_RO-2-31;28463;Hôtel de Ville SOTTEVILLE-LÈS-ROUEN;0;;;;F7;1111100
7;TF2_RO-2-31;28464;Hôtel de Ville SOTTEVILLE-LÈS-ROUEN;0;;;;F7;1111100
