service_id;date;exception_type
ASCESC-2-127;20240501;2
EL_BL-2-24;20231109;2
EL_BL-2-24;20231110;2
EL_BL-2-24;20231116;2
EL_BL-2-24;20231117;2
EL_BL-2-24;20231123;2
EL_BL-2-24;20231124;2
EL_BL-2-24;20231130;2
EL_BL-2-24;20231201;2
EL_BL-2-24;20231207;2
EL_BL-2-24;20231208;2
EL_BL-2-24;20231214;2
EL_BL-2-24;20231215;2
EL_BL-2-24;20231221;2
EL_BL-2-24;20231222;2
EL_BL-2-24;20231228;2
EL_BL-2-24;20231229;2
EL_BL-2-24;20240111;2
EL_BL-2-24;20240112;2
EL_BL-2-24;20240118;2
EL_BL-2-24;20240119;2
EL_BL-2-24;20240125;2
EL_BL-2-24;20240126;2
EL_BL-2-24;20240201;2
EL_BL-2-24;20240202;2
EL_BL-2-24;20240208;2
EL_BL-2-24;20240209;2
EL_BL-2-24;20240215;2
EL_BL-2-24;20240216;2
EL_BL-2-24;20240222;2
EL_BL-2-24;20240223;2
EL_BL-2-24;20240314;2
EL_BL-2-24;20240315;2
EL_BL-2-24;20240321;2
EL_BL-2-24;20240322;2
EL_BL-2-24;20240328;2
EL_BL-2-24;20240329;2
EL_BL-2-24;20240404;2
EL_BL-2-24;20240405;2
EL_BL-2-24;20240411;2
EL_BL-2-24;20240412;2
EL_BL-2-24;20240418;2
EL_BL-2-24;20240419;2
EL_BL-2-24;20240509;2
EL_BL-2-24;20240516;2
EL_BL-2-24;20240517;2
EL_BL-2-24;20240523;2
EL_BL-2-24;20240524;2
EL_BL-2-24;20240530;2
EL_BL-2-24;20240531;2
EL_BL-2-24;20240606;2
EL_BL-2-24;20240607;2
EL_BL-2-24;20240613;2
EL_BL-2-24;20240614;2
EL_BL-2-24;20240620;2
EL_BL-2-24;20240621;2
EL_BL-2-24;20240711;2
EL_BL-2-24;20240712;2
EL_BL-2-24;20240718;2
EL_BL-2-24;20240719;2
EL_BL-2-24;20240725;2
EL_BL-2-24;20240726;2
EL_BL-2-24;20240801;2
EL_BL-2-24;20240802;2
EL_BL-2-24;20240808;2
EL_BL-2-24;20240809;2
EL_BL-2-24;20240815;2
EL_BL-2-24;20240816;2
EL_BL-2-24;20240822;2
EL_BL-2-24;20240823;2
EL_BL-2-31;20231101;2
EL_BL-2-31;20231106;2
EL_BL-2-31;20231107;2
EL_BL-2-31;20231108;2
EL_BL-2-31;20231109;2
EL_BL-2-31;20231110;2
EL_BL-2-31;20231113;2
EL_BL-2-31;20231114;2
EL_BL-2-31;20231115;2
EL_BL-2-31;20231116;2
EL_BL-2-31;20231117;2
EL_BL-2-31;20231120;2
EL_BL-2-31;20231121;2
EL_BL-2-31;20231122;2
EL_BL-2-31;20231123;2
EL_BL-2-31;20231124;2
EL_BL-2-31;20231127;2
EL_BL-2-31;20231128;2
EL_BL-2-31;20231129;2
EL_BL-2-31;20231130;2
EL_BL-2-31;20231201;2
EL_BL-2-31;20231204;2
EL_BL-2-31;20231205;2
EL_BL-2-31;20231206;2
EL_BL-2-31;20231207;2
EL_BL-2-31;20231208;2
EL_BL-2-31;20231211;2
EL_BL-2-31;20231212;2
EL_BL-2-31;20231213;2
EL_BL-2-31;20231214;2
EL_BL-2-31;20231215;2
EL_BL-2-31;20231218;2
