route_id;agency_id;route_short_name;route_long_name;route_type;route_color;route_text_color;route_url;route_sort_order
351;2;351;Collège Gounod <> Place du Général de Gaulle;3;FDC300;1d1d1b;;351
36;2;36;Boulingrin <> Coteaux du Larmont;3;D3D800;1d1d1b;;52
360;2;360;Paul Eluard <> Collège Jean Zay;3;FDC300;1d1d1b;;360
361;2;361;Hameau Saint-Maurice <> Collège Jean Zay;3;FDC300;1d1d1b;;361
363;2;363;Lycée du Cailly <> Maromme La Maine;3;FDC300;1d1d1b;;363
364;2;364;Lycée du Cailly <> Place du Vivier;3;FDC300;1d1d1b;;364
37;2;37;Plaine de la Ronce <> Les Bosquets ou Hauts Poiriers;3;D3D800;1d1d1b;;53
38;2;38;Coteaux Branly <> Mairie de Montmain;3;D3D800;1d1d1b;;54
401;2;401;Ascenseurs Palais de Justice;3;e6007e;ffffff;;401
402;2;402;Escalators Palais de Justice;3;e6007e;ffffff;;402
403;2;403;Ascenseurs Joffre-Mutualité;3;e6007e;ffffff;;403
404;2;404;Ascenseurs Théâtre des Arts;3;e6007e;ffffff;;404
405;2;405;Ascenseurs Gare-Rue Verte;3;e6007e;ffffff;;405
406;2;406;Escalators Gare-Rue Verte;3;e6007e;ffffff;;406
407;2;407;Ascenseurs Beauvoisine;3;e6007e;ffffff;;407
41;2;41;Ancienne Mare <> Vente Olivier;3;F8AE4C;1d1d1b;;55
42;2;42;Lebon <> La Houssière;3;A2559D;ffffff;;56
43;2;43;Longs Vallons <> Place du Vivier;3;9BD5E3;1d1d1b;;57
44;2;44;E. Lacroix <> Chapelle Saint-Siméon;3;9BD5E3;1d1d1b;;58
501;2;A;Mairie de Saint-Pierre-Les-Elbeuf <> Mairie de Cléon;3;CD1922;ffffff;;70
502;2;B;Parc Saint-Cyr <> Ecole de La Londe;3;354093;ffffff;;71
503;2;C;Bosc Tard <> Les Arches;3;9E2C87;ffffff;;72
504;2;E;Mairie de Cléon <> Moulin Saint-Etienne;3;00A266;ffffff;;73
505;2;F;Z.I. L'Oison <> Pôle Multimodal d'Oissel;3;D3507A;ffffff;;74
506;2;D1;Parc Saint-Cyr <> Mairie de Cléon;3;75462D;ffffff;;77
507;2;D2;Mairie de Saint-Pierre-Lès-Elbeuf <> Pôle Multimodal d'Oissel;3;98C21D;1d1d1b;;78
508;2;G;Route du Bac <> Champ de Foire;3;D3D800;1d1d1b;;75
90;2;Métro;Boulingrin <> Georges Braque / Technopôle;1;123E8B;ffffff;;1
91;2;T1;Mont aux Malades <> CHU Charles Nicolle;0;E63027;ffffff;;5
92;2;T2;Mairie - V. Schoelcher <> Tamarelle;0;008F5B;ffffff;;6
93;2;T3;Monet <> Durécu-Lavoisier;0;6D1C74;ffffff;;7
94;2;T4;Marie Curie - MTC <> Zénith-Parc Expo;0;F5C500;1d1d1b;;8
98;2;Noctambus;La Pléiade <> Cateliers;3;29235C;ffde00;;81
99;2;Calypso;Calypso;4;0bbbef;ffffff;;80
26;2;26;Salle des Fêtes de Saint-Pierre-de-Varengeville <> Mont-Riboudet;3;0069B3;ffffff;;47
529;2;529;Route de Montville <> Gare Routière de Rouen;3;9BD5E3;1d1d1b;;59
530;2;530;Caudebec Quai <> Gare Routière de Rouen;3;D20A11;ffffff;;60
410;2;410;Filo'R Zone 1;3;006633;ffffff;;90
411;2;411;Filo'R Zone 2;3;e94e1b;ffffff;;91
412;2;412;Filo'R Zone 3;3;82368c;ffffff;;92
413;2;413;Filo'R Zone 4;3;36a9e1;ffffff;;93
414;2;414;Filo'R Zone 5;3;f39200;ffffff;;94
521;2;521;AlloBus Zone 1;715;e3aeca;1d1d1b;;95
522;2;522;AlloBus Zone 2;715;fbc58b;1d1d1b;;96
523;2;523;AlloBus Zone 3;715;a5d09a;1d1d1b;;97
524;2;524;AlloBus Zone 4;715;83c3d6;1d1d1b;;98
