Column1;Column2;Column3;Column4;Column5;Column6;Column7
agency_id;agency_name;agency_url;agency_timezone;agency_lang;agency_phone;agency_fare_url
Elbeuf;Elbeuf;http://www.businfo-groupe.com;Europe/Paris;FR;;
