route_id;service_id;trip_id;direction_id;block_id;shape_id
100;104;8002;0;902;
100;104;8003;0;902;
100;104;8004;0;902;
100;3;8001;0;902;
100;10304;8005;1;901;
100;10304;8006;1;901;
101;104;8102;0;962;
101;3;8101;0;912;
101;10304;8103;1;911;
102;10304;8201;0;921;
102;104;8203;1;922;
102;3;8202;1;922;
103;10304;8301;0;931;
103;104;8303;1;932;
103;3;8302;1;932;
104;10304;8401;0;941;
104;10304;8402;0;941;
104;104;8404;1;942;
104;104;8405;1;942;
104;3;8403;1;942;
106;10304;8601;0;961;
106;10304;8602;0;961;
106;104;8604;1;962;
106;104;8605;1;962;
106;3;8603;1;962;
111;10304;1001;0;102;
111;10304;1002;0;101;
111;10304;1003;0;104;
111;10304;1004;0;106;
111;10304;1005;0;103;
111;10304;1006;0;105;
111;10304;1007;0;107;
111;10304;1008;0;102;
111;10304;1009;0;101;
111;10304;1010;0;104;
111;10304;1011;0;106;
111;10304;1012;0;108;
111;10304;1013;0;103;
111;10304;1014;0;105;
111;10304;1015;0;107;
111;10304;1016;0;102;
111;10304;1017;0;101;
111;10304;1018;0;104;
111;10304;1019;0;108;
111;10304;1020;0;105;
111;10304;1021;0;107;
111;10304;1022;0;102;
111;10304;1023;0;705;
111;10304;1024;0;101;
111;10304;1025;0;108;
111;10304;1026;0;105;
111;10304;1027;0;107;
111;10304;1028;0;102;
111;10304;1029;0;705;
111;10304;1030;0;110;
111;10304;1031;0;101;
111;10304;1032;0;108;
111;10304;1033;0;105;
111;10304;1034;0;107;
111;10304;1035;0;102;
111;10304;1036;0;705;
111;10304;1037;0;110;
111;10304;1038;0;101;
111;10304;1039;0;108;
111;10304;1040;0;105;
111;10304;1041;0;111;
111;10304;1042;0;107;
111;10304;1043;0;102;
111;10304;1044;0;705;
111;10304;1045;0;110;
111;10304;1046;0;112;
111;10304;1047;0;101;
111;10304;1048;0;108;
111;10304;1049;0;105;
111;10304;1050;0;107;
111;10304;1051;0;102;
111;10304;1052;0;705;
111;10304;1053;0;110;
111;10304;1054;0;101;
111;10304;1055;0;108;
111;10304;1056;0;105;
111;10304;1057;0;107;
111;10304;1058;0;102;
111;10304;1059;0;110;
111;10304;1060;0;102;
111;810;1401;0;102;
111;810;1402;0;104;
111;810;1403;0;101;
111;810;1404;0;103;
111;810;1405;0;105;
111;810;1406;0;102;
111;810;1407;0;104;
111;810;1408;0;101;
111;810;1409;0;103;
111;810;1410;0;105;
111;810;1411;0;102;
111;810;1412;0;104;
111;810;1413;0;101;
111;810;1414;0;103;
111;810;1415;0;105;
111;810;1416;0;102;
111;810;1417;0;104;
111;810;1418;0;101;
111;810;1419;0;103;
111;810;1420;0;105;
111;810;1421;0;102;
111;810;1422;0;104;
111;810;1423;0;101;
111;810;1424;0;103;
111;810;1425;0;105;
111;810;1426;0;102;
111;810;1427;0;106;
111;810;1428;0;104;
111;810;1429;0;101;
111;810;1430;0;103;
111;810;1431;0;105;
111;810;1432;0;102;
111;810;1433;0;106;
111;810;1434;0;104;
111;810;1435;0;101;
111;810;1436;0;103;
111;810;1437;0;105;
111;810;1438;0;106;
111;810;1439;0;104;
111;810;1440;0;101;
111;810;1441;0;103;
111;810;1442;0;105;
111;810;1443;0;106;
111;810;1444;0;104;
111;810;1445;0;104;
111;9;1201;0;102;
111;9;1202;0;104;
111;9;1203;0;101;
111;9;1204;0;103;
111;9;1205;0;105;
111;9;1206;0;102;
111;9;1207;0;104;
111;9;1208;0;101;
111;9;1209;0;103;
111;9;1210;0;105;
111;9;1211;0;102;
111;9;1212;0;104;
111;9;1213;0;101;
111;9;1214;0;103;
111;9;1215;0;105;
111;9;1216;0;102;
111;9;1217;0;104;
111;9;1218;0;101;
111;9;1219;0;103;
111;9;1220;0;105;
111;9;1221;0;102;
111;9;1222;0;104;
111;9;1223;0;101;
111;9;1224;0;103;
111;9;1225;0;105;
111;9;1226;0;102;
111;9;1227;0;104;
111;9;1228;0;101;
111;9;1229;0;103;
111;9;1230;0;105;
111;9;1231;0;102;
111;9;1232;0;106;
111;9;1233;0;104;
111;9;1234;0;101;
111;9;1235;0;103;
111;9;1236;0;105;
111;9;1237;0;102;
111;9;1238;0;106;
111;9;1239;0;101;
111;9;1240;0;103;
111;9;1241;0;105;
111;9;1242;0;102;
111;9;1243;0;106;
111;9;1244;0;101;
111;10304;1061;1;101;
111;10304;1062;1;103;
111;10304;1063;1;105;
111;10304;1064;1;102;
111;10304;1065;1;101;
111;10304;1066;1;104;
111;10304;1067;1;106;
111;10304;1068;1;108;
111;10304;1069;1;103;
111;10304;1070;1;105;
111;10304;1071;1;107;
111;10304;1072;1;102;
111;10304;1073;1;101;
111;10304;1074;1;104;
111;10304;1075;1;108;
111;10304;1076;1;103;
111;10304;1077;1;105;
111;10304;1078;1;107;
111;10304;1079;1;102;
111;10304;1080;1;101;
111;10304;1081;1;104;
111;10304;1082;1;108;
111;10304;1083;1;105;
111;10304;1084;1;107;
111;10304;1085;1;102;
111;10304;1086;1;705;
111;10304;1087;1;101;
111;10304;1088;1;108;
111;10304;1089;1;105;
111;10304;1090;1;107;
111;10304;1091;1;102;
111;10304;1092;1;705;
111;10304;1093;1;110;
111;10304;1094;1;101;
111;10304;1095;1;108;
111;10304;1096;1;105;
111;10304;1097;1;111;
111;10304;1098;1;107;
111;10304;1099;1;102;
111;10304;1100;1;705;
111;10304;1101;1;110;
111;10304;1102;1;101;
111;10304;1103;1;108;
111;10304;1104;1;105;
111;10304;1105;1;111;
111;10304;1106;1;107;
