stop_id;stop_name;stop_lat;stop_lon
1011;MAIRIE DE CLEON;49.314363;1.032767
1012;MAIRIE DE CLEON;49.3139;1.03325
1021;LA CROIX;49.311146;1.034605
1022;LA CROIX;49.311227;1.034797
1031;LA VOIE;49.309633;1.037917
1032;LA VOIE;49.3095;1.038183
1041;PETIT CLOS;49.307217;1.039
1042;PETIT CLOS;49.307533;1.039017
1051;DOC. VILLERS;49.30452;1.0403
1052;DOC. VILLERS;49.30452;1.04057
1061;LES NOVALES;49.304189;1.037043
1062;LES NOVALES;49.304112;1.036858
1071;EGLANTIERS;49.302547;1.033165
1072;EGLANTIERS;49.302587;1.032695
1081;CERISIERS;49.303528;1.029913
1082;CERISIERS;49.303485;1.029947
1091;BOIS LANDRY;49.302336;1.026002
1092;BOIS LANDRY;49.302179;1.02573
1101;PONT PASTEUR;49.301312;1.022612
1102;PONT PASTEUR;49.301202;1.02265
1111;CITE BLIN;49.300465;1.019525
1112;CITE BLIN;49.300417;1.019577
1121;D. ROCHEREAU;49.300742;1.013721
1122;D. ROCHEREAU;49.30066;1.013839
1131;GARE DE ST AUBIN;49.302482;1.010039
1132;GARE DE ST AUBIN;49.302384;1.010043
1141;POINTE A JOJO;49.2996;1.0081
1142;POINTE A JOJO;49.2992;1.0081
1151;DOC. PAIN;49.297047;1.006488
1152;DOC. PAIN;49.297187;1.006674
1161;EGLISE ST JEAN;49.29182;1.00337
1162;EGLISE ST JEAN;49.29193;1.00354
1171;LA POSTE;49.290022;1.003119
1172;LA POSTE;49.290046;1.003432
1181;CHARLES MOUCHEL;49.289313;1.005263
1182;CHARLES MOUCHEL;49.288956;1.005984
1191;MITTERRAND;49.287337;1.008356
1192;MITTERRAND;49.287643;1.008033
1201;RENAUDEL;49.287;1.01267
1202;RENAUDEL;49.28709;1.01198
1211;CERISAIE;49.288362;1.017749
1212;CERISAIE;49.288431;1.015532
1221;LA RUCHE;49.28708;1.01924
1222;LA RUCHE;49.28714;1.0194
1231;EGLISE DE CAUDEBEC;49.284789;1.018806
1232;EGLISE DE CAUDEBEC;49.284733;1.018864
1241;MAIRIE DE CAUDEBEC;49.283207;1.017787
1242;MAIRIE DE CAUDEBEC;49.28236;1.0182
1251;LEO LAGRANGE;49.281207;1.020949
1252;LEO LAGRANGE;49.281352;1.020787
1261;EUGENE POTTIER;49.2801;1.023467
1262;EUGENE POTTIER;49.280037;1.023702
1271;COUSTEAU;49.2779;1.02521
1272;COUSTEAU;49.277929;1.025317
1281;ECOLE ST EXUPERY;49.275766;1.025569
1282;ECOLE ST EXUPERY;49.276047;1.02627
1291;MARE AUX BOEUFS;49.277975;1.02787
1292;MARE AUX BOEUFS;49.278399;1.027961
1301;GRACE DE DIEU;49.277382;1.031563
1302;GRACE DE DIEU;49.277425;1.031619
1311;LA CHESNAIE;49.275748;1.034211
1312;LA CHESNAIE;49.275781;1.034282
1321;TABOUELLE;49.274349;1.036451
1322;TABOUELLE;49.274752;1.035937
2011;HOPITAL INTERCOMMUNAL;49.30403;1.04194
2012;HOPITAL INTRECOMMUNAL;49.30403;1.04194
2051;GUERBETTE;49.298468;1.026211
2052;GUERBETTE;49.298491;1.026314
2061;ST REMY;49.2971;1.019282
2062;ST REMY;49.29706;1.0193
2071;POINTE VERTE;49.29718;1.01682
2072;POINTE VERTE;49.29714;1.0169
2081;RENE HEROUX;49.2973;1.01234
2082;RENE HEROUX;49.29734;1.01234
2091;CIRQUE THEATRE;49.290489;1.01047
2092;CIRQUE THEATRE;49.29053;1.010808
2101;CHAMP DE FOIRE;49.290256;1.012506
2102;CHAMP DE FOIRE;49.290194;1.013536
2103;CHAMP DE FOIRE;49.2912;1.01434
2104;CHAMP DE FOIRE;49.2913;1.0144
2105;CHAMP DE FOIRE;49.2904;1.0142
2111;LYCEE MAUROIS;49.289485;1.018863
2112;LYCEE MAUROIS;49.289534;1.018994
